AREA,PERIMETER,WCOLGEN02_,WCOLGEN021,DPTO,NOMBRE_DPT,MPIO,NOMBRE_MPI,NOMBRE_CAB,CLASEMUN,MPIOS,ZONA,OF_REG,REG_ZONAS,HECTARES,DESEMPLEO
16270191532,616523.8842,1078,999,91,AMAZONAS,460,MIRITI-PARANA,MIRITI-PARANA,CD,91460,ZONA16,DABOG,DABOGZONA16,1627019.153,0
19285366894,835509.2943,1080,1000,91,AMAZONAS,669,PUERTO SANTANDER,PUERTO SANTANDER,CD,91669,ZONA16,DABOG,DABOGZONA16,1928536.689,0
13182078545,721820.2919,1081,835,91,AMAZONAS,405,LA CHORRERA,LA CHORRERA,CD,91405,ZONA16,DABOG,DABOGZONA16,1318207.855,0
14999523815,783743.4052,1082,998,91,AMAZONAS,407,LA PEDRERA,LA PEDRERA,CD,91407,ZONA16,DABOG,DABOGZONA16,1499952.382,0
8929183816,629919.9312,1083,834,91,AMAZONAS,263,EL ENCANTO,EL ENCANTO,CD,91263,ZONA16,DABOG,DABOGZONA16,892918.382,0
8182123412,483007.9888,1084,997,91,AMAZONAS,798,TARAPACA,TARAPACA,CD,91798,ZONA16,DABOG,DABOGZONA16,818212.341,0
5202156585,334293.0465,1085,833,91,AMAZONAS,1,LETICIA,LETICIA,CM,91001,ZONA16,DABOG,DABOGZONA16,520215.658,0
1842047392,208614.7582,1086,996,91,AMAZONAS,540,PUERTO NARINO,PUERTO NARINO,CM,91540,ZONA16,DABOG,DABOGZONA16,184204.739,0
2117988997,256197.1619,1101,1078,91,AMAZONAS,430,LA VICTORIA,PACOA,CD,91430,ZONA16,DABOG,DABOGZONA16,211798.9,0
12689370944,676317.3237,1102,1077,91,AMAZONAS,536,PUERTO ARICA,PUERTO ARICA,CD,91536,ZONA16,DABOG,DABOGZONA16,1268937.094,0
7329386304,461501.7592,1103,1076,91,AMAZONAS,530,PUERTO ALEGRIA,PUERTO ALEGRIA,CD,91530,ZONA16,DABOG,DABOGZONA16,732938.63,0
508103837.3,132579.2456,151,306,5,ANTIOQUIA,51,ARBOLETES,ARBOLETES,CM,5051,ZONA02,DAMED,DAMEDZONA02,50810.384,0
349663268.3,83583.69578,159,381,5,ANTIOQUIA,659,SAN JUAN DE URABA,SAN JUAN DE URABA,CM,5659,ZONA02,DAMED,DAMEDZONA02,34966.327,0
1292389464,167152.8036,164,363,5,ANTIOQUIA,490,NECOCLI,NECOCLI,CM,5490,ZONA02,DAMED,DAMEDZONA02,129238.946,0
716404308,127954.6382,168,384,5,ANTIOQUIA,665,SAN PEDRO DE URABA,SAN PEDRO DE URABA,CM,5665,ZONA02,DAMED,DAMEDZONA02,71640.431,0
3332523774,478772.8702,181,399,5,ANTIOQUIA,837,TURBO,TURBO,CM,5837,ZONA02,DAMED,DAMEDZONA02,333252.377,0
491576176.8,115760.4718,195,364,5,ANTIOQUIA,495,NECHI,NECHI,CM,5495,ZONA04,DAMED,DAMEDZONA04,49157.618,0
1927940154,217296.2815,198,336,5,ANTIOQUIA,250,EL BAGRE,EL BAGRE,CM,5250,ZONA05,DAMED,DAMEDZONA05,192794.015,0
574896917.5,117191.4174,205,305,5,ANTIOQUIA,45,APARTADO,APARTADO,CM,5045,ZONA02,DAMED,DAMEDZONA02,57489.692,0
1320915902,192458.5773,206,326,5,ANTIOQUIA,154,CAUCASIA,CAUCASIA,CM,5154,ZONA04,DAMED,DAMEDZONA04,132091.59,0
2035307370,215948.2089,210,317,5,ANTIOQUIA,120,CACERES,CACERES,CM,5120,ZONA04,DAMED,DAMEDZONA04,203530.737,0
246816675.8,105595.7013,215,323,5,ANTIOQUIA,147,CAREPA,CAREPA,CM,5147,ZONA02,DAMED,DAMEDZONA02,24681.668,0
732003817.6,122772.8445,222,327,5,ANTIOQUIA,172,CHIGORODO,CHIGORODO,CM,5172,ZONA02,DAMED,DAMEDZONA02,73200.382,0
1749979472,233685.026,223,395,5,ANTIOQUIA,790,TARAZA,TARAZA,CM,5790,ZONA04,DAMED,DAMEDZONA04,174997.947,0
1022192378,175559.1774,227,411,5,ANTIOQUIA,895,ZARAGOZA,ZARAGOZA,CM,5895,ZONA05,DAMED,DAMEDZONA05,102219.238,0
1216466421,186003.6522,239,391,5,ANTIOQUIA,736,SEGOVIA,SEGOVIA,CM,5736,ZONA05,DAMED,DAMEDZONA05,121646.642,0
1413315377,186628.6804,245,302,5,ANTIOQUIA,40,ANORI,ANORI,CM,5040,ZONA05,DAMED,DAMEDZONA05,141331.538,0
534379532.5,123594.4931,246,402,5,ANTIOQUIA,854,VALDIVIA,VALDIVIA,CM,5854,ZONA04,DAMED,DAMEDZONA04,53437.953,0
2132162413,260855.6747,247,351,5,ANTIOQUIA,361,ITUANGO,ITUANGO,CM,5361,ZONA04,DAMED,DAMEDZONA04,213216.241,0
1181498738,164423.5222,254,298,5,ANTIOQUIA,31,AMALFI,AMALFI,CM,5031,ZONA05,DAMED,DAMEDZONA05,118149.874,0
1826058057,209276.6539,255,410,5,ANTIOQUIA,893,YONDO,CASABE,CM,5893,ZONA05,DAMED,DAMEDZONA05,182605.806,0
1923797831,237788.4475,257,370,5,ANTIOQUIA,604,REMEDIOS,REMEDIOS,CM,5604,ZONA05,DAMED,DAMEDZONA05,192379.783,0
734803623.4,151890.4731,259,408,5,ANTIOQUIA,887,YARUMAL,YARUMAL,CM,5887,ZONA04,DAMED,DAMEDZONA04,73480.362,0
358871999.7,83765.80611,263,315,5,ANTIOQUIA,107,BRICENO,BRICENO,CM,5107,ZONA04,DAMED,DAMEDZONA04,35887.2,0
392995348.4,93797.9183,264,367,5,ANTIOQUIA,543,PEQUE,PEQUE,CM,5543,ZONA02,DAMED,DAMEDZONA02,39299.535,0
1834191449,218452.6978,265,333,5,ANTIOQUIA,234,DABEIBA,DABEIBA,CM,5234,ZONA02,DAMED,DAMEDZONA02,183419.145,0
212773956.3,82837.29586,266,320,5,ANTIOQUIA,134,CAMPAMENTO,CAMPAMENTO,CM,5134,ZONA04,DAMED,DAMEDZONA04,21277.396,0
140216347.2,48214.05759,271,398,5,ANTIOQUIA,819,TOLEDO,TOLEDO,CM,5819,ZONA04,DAMED,DAMEDZONA04,14021.635,0
252826647,74288.6006,274,373,5,ANTIOQUIA,628,SABANALARGA,SABANALARGA,CM,5628,ZONA01,DAMED,DAMEDZONA01,25282.665,0
242604362.3,74442.42854,278,400,5,ANTIOQUIA,842,URAMITA,URAMITA,CM,5842,ZONA02,DAMED,DAMEDZONA02,24260.436,0
1294066172,167209.0894,280,360,5,ANTIOQUIA,475,MURINDO,MURINDO,CM,5475,ZONA07,DAMED,DAMEDZONA07,129406.617,0
